          MeV        barns
         1e-11      0.19418 
   1.10304e-11     0.184888 
   1.21669e-11     0.176041 
   1.34206e-11     0.167617 
   1.48034e-11     0.159597 
   1.63287e-11      0.15196 
   1.80111e-11     0.144689 
   1.98669e-11     0.137765 
   2.19139e-11     0.131173 
   2.41719e-11     0.124896 
   2.66625e-11      0.11892 
   2.94097e-11     0.113229 
     3.244e-11     0.107811 
   3.57825e-11     0.102652 
   3.94694e-11    0.0977403 
   4.35362e-11    0.0930634 
   4.80221e-11    0.0886102 
   5.29701e-11    0.0843701 
    5.8428e-11     0.080333 
   6.44483e-11    0.0764889 
   7.10888e-11    0.0728289 
   7.84136e-11     0.069344 
   8.64931e-11    0.0660258 
   9.54051e-11    0.0628664 
   1.05235e-10    0.0598582 
   1.16078e-10    0.0569939 
   1.28039e-10    0.0542667 
   1.41231e-10      0.05167 
   1.55784e-10    0.0491975 
   1.71835e-10    0.0468434 
    1.8954e-10    0.0446019 
    2.0907e-10    0.0424677 
   2.30612e-10    0.0404355 
   2.54374e-10    0.0385007 
   2.80584e-10    0.0366584 
   3.09494e-10    0.0349042 
   3.41383e-10     0.033234 
   3.76558e-10    0.0316437 
   4.15358e-10    0.0301296 
   4.58155e-10    0.0286878 
   5.05362e-10    0.0273151 
   5.57433e-10     0.026008 
   6.14869e-10    0.0247635 
   6.78223e-10    0.0235786 
   7.48105e-10    0.0224503 
   8.25188e-10     0.021376 
   9.10213e-10    0.0203532 
      1.004e-9    0.0193793 
    1.10745e-9    0.0184519 
    1.22155e-9     0.017569 
    1.34742e-9    0.0167283 
    1.48625e-9    0.0159278 
    1.63939e-9    0.0151657 
    1.80831e-9      0.01444 
    1.99463e-9     0.013749 
    2.20016e-9    0.0130911 
    2.42685e-9    0.0124647 
    2.67691e-9    0.0118682 
    2.95273e-9    0.0113003 
    3.25697e-9    0.0107596 
    3.59256e-9    0.0102447 
    3.96272e-9    0.0097545 
    4.37103e-9   0.00928774 
    4.82141e-9    0.0088433 
    5.31819e-9   0.00842014 
    5.86616e-9   0.00801723 
    6.47059e-9   0.00763359 
     7.1373e-9   0.00726831 
    7.87271e-9   0.00692051 
    8.68389e-9   0.00658935 
    9.57865e-9   0.00627404 
    1.05656e-8   0.00597382 
    1.16543e-8   0.00568797 
    1.28551e-8   0.00541579 
    1.41796e-8   0.00515663 
    1.56406e-8   0.00490988 
    1.72522e-8   0.00467494 
    1.90298e-8   0.00445124 
    2.09906e-8   0.00423824 
    2.31534e-8   0.00403544 
    2.52419e-8   0.00386489 
       2.53e-8   0.00386045 
    2.79068e-8   0.00367573 
    3.07823e-8   0.00349984 
     3.3954e-8   0.00333238 
    3.74525e-8   0.00317292 
    4.13115e-8   0.00302111 
    4.55681e-8   0.00287656 
    5.02633e-8   0.00273893 
    5.54423e-8   0.00260791 
    6.11549e-8   0.00248317 
    6.74561e-8   0.00236444 
    7.44066e-8   0.00225143 
    8.20732e-8   0.00214386 
    9.05297e-8   0.00204145 
    9.98577e-8   0.00194393 
    1.10147e-7   0.00185104 
    1.21496e-7   0.00176256 
    1.34014e-7   0.00167827 
    1.47823e-7   0.00159797 
    1.63054e-7   0.00152148 
    1.79855e-7   0.00144864 
    1.98386e-7   0.00137932 
    2.18827e-7   0.00131334 
    2.41375e-7   0.00125053 
    2.66245e-7   0.00119072 
    2.93678e-7   0.00113376 
    3.23938e-7   0.00107947 
    3.57316e-7   0.00102776 
    3.94132e-7  0.000978579 
    4.34743e-7  0.000931788 
    4.79537e-7  0.000887225 
    5.28947e-7  0.000844786 
    5.83448e-7  0.000804411 
    6.43565e-7  0.000765878 
    7.09876e-7  0.000729178 
     7.8302e-7  0.000694327 
      8.637e-7  0.000661084 
    9.52693e-7  0.000629428 
    1.05086e-6  0.000599367 
    1.15913e-6  0.000570777 
    1.27857e-6  0.000543434 
     1.4103e-6  0.000517474 
    1.55562e-6  0.000492726 
     1.7159e-6  0.000469057 
    1.89271e-6  0.000446644 
    2.08772e-6  0.000425279 
    2.30284e-6     0.000405 
    2.55803e-6  0.000384205 
    2.82161e-6  0.000365923 
    3.11233e-6  0.000348443 
    3.43302e-6  0.000331666 
    3.81327e-6  0.000314731 
    4.23585e-6  0.000298622 
     4.6723e-6  0.000284414 
    5.18982e-6  0.000269764 
    5.80533e-6  0.000255149 
    6.49383e-6  0.000241228 
    7.11311e-6   0.00023047 
    7.84603e-6  0.000219491 
    8.65446e-6  0.000208967 
    9.47932e-6  0.000199679 
    1.03833e-5  0.000190826 
    1.12938e-5  0.000183069 
    1.24575e-5  0.000174305 
    1.36448e-5  0.000166607 
    1.50508e-5  0.000158676 
    1.67187e-5  0.000150561 
    1.83121e-5  0.000143935 
     1.9918e-5  0.000138046 
    2.16646e-5  0.000132387 
    2.34005e-5  0.000127444 
    2.58116e-5  0.000121315 
    2.84711e-5  0.000115608 
     3.0537e-5  0.000111654 
    3.34475e-5  0.000106661 
    3.63806e-5  0.000102322 
    3.92956e-5   9.84677e-5 
    4.27415e-5   9.44315e-5 
    4.64895e-5   9.05895e-5 
    5.12797e-5   8.62398e-5 
    5.53858e-5   8.30513e-5 
    6.02426e-5   7.96325e-5 
    6.69186e-5   7.55603e-5 
    7.22769e-5   7.27356e-5 
    7.80682e-5   6.99984e-5 
    8.61121e-5   6.66607e-5 
    9.43195e-5   6.37183e-5 
   0.000101163   6.15411e-5 
   0.000110811   5.89627e-5 
   0.000123953   5.59222e-5 
   0.000135767    5.3573e-5 
   0.000149756    5.1146e-5 
   0.000166351   4.86622e-5 
   0.000180939   4.67811e-5 
   0.000196806   4.49604e-5 
   0.000214064   4.32083e-5 
   0.000231204   4.16696e-5 
   0.000256826   3.96402e-5 
   0.000277391   3.82469e-5 
   0.000299617   3.68663e-5 
   0.000332803   3.50766e-5 
   0.000361988   3.37207e-5 
   0.000390992   3.25122e-5 
   0.000428258   3.11453e-5 
   0.000462572   3.00356e-5 
