         MeV        barns
         1e-11      1159.67 
   1.10304e-11       1104.2 
   1.21669e-11      1051.38 
   1.34206e-11      1001.08 
   1.48034e-11      953.199 
   1.63287e-11      907.606 
   1.80111e-11      864.195 
   1.98669e-11      822.863 
   2.19139e-11      783.509 
   2.41719e-11       746.04 
   2.66625e-11      710.364 
   2.94097e-11      676.397 
     3.244e-11      644.057 
   3.57825e-11      613.265 
   3.94694e-11      583.948 
   4.35362e-11      556.036 
   4.80221e-11       529.46 
   5.28819e-11      504.578 
   5.83307e-11      480.468 
   6.43409e-11      457.513 
   7.09704e-11      435.659 
    7.8283e-11      414.852 
    8.6349e-11      395.043 
   9.52462e-11      376.184 
    1.0506e-10      358.229 
   1.15885e-10      341.136 
   1.27826e-10      324.864 
   1.40996e-10      309.372 
   1.55524e-10      294.625 
   1.71549e-10      280.586 
   1.89225e-10      267.221 
   2.08722e-10        254.5 
   2.30228e-10       242.39 
    2.5395e-10      230.863 
   2.80116e-10      219.892 
   3.08978e-10      209.449 
   3.40815e-10       199.51 
   3.75931e-10       190.05 
   4.14666e-10      181.048 
   4.57392e-10      172.481 
    5.0452e-10      164.329 
   5.56504e-10      156.571 
   6.13845e-10      149.191 
   6.77094e-10      142.169 
   7.46859e-10      135.488 
   8.23814e-10      129.134 
   9.08697e-10       123.09 
    1.00233e-9      117.342 
     1.1056e-9      111.876 
    1.21952e-9      106.679 
    1.34518e-9      101.738 
    1.48378e-9      97.0419 
    1.63666e-9      92.5788 
     1.8053e-9      88.3381 
    2.00536e-9      84.0287 
    2.22748e-9      79.9529 
    2.47432e-9      76.0955 
    2.74839e-9      72.4494 
    3.05296e-9      69.0011 
    3.39112e-9      65.7442 
    3.76691e-9      62.6665 
    4.18415e-9      59.7623 
    4.64783e-9      57.0207 
    5.16264e-9      54.4365 
    5.73475e-9           52 
    6.36995e-9      49.7065 
    7.07585e-9      47.5472 
     7.8596e-9      45.5179 
    8.73058e-9      43.6108 
    9.69761e-9      41.8219 
    1.08477e-8      40.0367 
    1.21343e-8      38.3727 
    1.35734e-8       36.824 
    1.51832e-8      35.3848 
    1.69839e-8      34.0497 
    1.91321e-8      32.7392 
    2.15511e-8      31.5347 
    2.42771e-8      30.4294 
    2.52209e-8      30.0957 
       2.53e-8      30.0687 
    2.86998e-8       29.034 
    3.25565e-8      28.0958 
     3.7192e-8      27.2032 
    4.24854e-8      26.4039 
    4.88745e-8      25.6551 
    5.66211e-8       24.962 
    6.60549e-8      24.3287 
    7.76004e-8       23.757 
    9.24546e-8      23.2274 
    1.11701e-7      22.7482 
    1.36864e-7      22.3237 
    1.71253e-7      21.9449 
    2.20371e-7      21.6087 
    2.93678e-7       21.316 
     4.1105e-7      21.0648 
    6.12785e-7      20.8579 
     1.0076e-6      20.6926 
    1.96022e-6      20.5679 
    5.33729e-6      20.4841 
    4.33445e-5      20.4368 
    0.00973874       19.222 
     0.0183791      18.2662 
     0.0246658      17.6757 
     0.0408441      16.2353 
     0.0608465      14.8181 
     0.0811287      13.6515 
      0.100705      12.7166 
      0.151058      10.8963 
           0.2      9.64353 
           0.3      7.95225 
           0.4       6.8766 
           0.5      6.12557 
      0.604114      5.54899 
      0.704768       5.1153 
      0.805643       4.7652 
      0.906349      4.47589 
       1.00705      4.23215 
       1.20846      3.83739 
       1.40988      3.52938 
       1.61129      3.27951 
        1.8127      3.07085 
       2.02822      2.88176 
       2.23104      2.72734 
       2.43386      2.59131 
       2.63668      2.47012 
       2.85953       2.3512 
       3.06379      2.25265 
       3.29093      2.15322 
       3.54594      2.05201 
        3.8808      1.93368 
           4.2      1.83279 
       4.49355      1.75064 
       4.86772      1.65403 
       5.14208      1.59141 
        5.5388      1.50615 
       6.04232      1.41101 
       6.54585       1.3268 
       7.09876        1.245 
       7.60581      1.17776 
       8.11287      1.11703 
       8.61992      1.06191 
       9.12697      1.01164 
       9.63403     0.965605 
            10     0.934399 
       10.1411       0.9233 
       10.2842     0.912046 
       10.4292     0.900634 
          10.5     0.895069 
       10.6481     0.884287 
       10.7984     0.873354 
       10.9507     0.862267 
            11      0.85868 
       11.1552       0.8482 
       11.3126     0.837572 
       11.4722     0.826795 
          11.5     0.824915 
       11.6622     0.814723 
       11.8268     0.804387 
       11.9936     0.793904 
            12     0.793504 
       12.1693     0.783586 
        12.341     0.773527 
          12.5     0.764211 
       12.6764     0.754554 
       12.8552     0.744761 
            13     0.736831 
       13.1834     0.727424 
       13.3694     0.717884 
          13.5     0.711185 
       13.6905     0.702016 
       13.8836     0.692717 
            14     0.687114 
       14.1975     0.678432 
       14.3978     0.669628 
       14.6009     0.660699 
       14.8069     0.651645 
            15     0.643159 
       15.2116     0.634877 
       15.4262     0.626479 
       15.6439     0.617962 
       15.8646     0.609326 
            16     0.604026 
       16.2257     0.596113 
       16.4546     0.588088 
       16.6868     0.579949 
       16.9222     0.571696 
            17     0.568969 
       17.2398     0.561394 
       17.4831     0.553712 
       17.7297     0.545921 
       17.9799      0.53802 
            18     0.537384 
       18.2539      0.53012 
       18.5115     0.522753 
       18.7726     0.515282 
            19     0.508778 
       19.2681       0.5018 
       19.5399     0.494724 
       19.8156     0.487547 
            20     0.482746 

