0.000000414________0,001354594
0,01________0,001391558
0,02________0,001401367
0,03________0,001410973
0,04________0,001420449
0,05_________0,00142983
0,06________0,001438942
0,07________0,001447615
0,08________0,001455844
0,09________0,001463751
0,1________0,001471318
0,11________0,001478532
0,12________0,001484809
0,13________0,001490801
0,14________0,001496321
0,15________0,001501141
0,16________0,001505336
0,17________0,001509235
0,18________0,001512622
0,19________0,001515272
0,2________0,001517282
0,21________0,001519144
0,22________0,001520598
0,23________0,001521355
0,24________0,001521321
0,25________0,001520954
0,26________0,001520355
0,27________0,001519593
0,28________0,001518532
0,29________0,001516595
0,3________0,001514031
0,31_________0,00151117
0,32_________0,00150814
0,33________0,001504484
0,34________0,001500497
0,35________0,001496138
0,36________0,001491404
0,37________0,001486291
0,38________0,001480844
0,39________0,001475116
0,4________0,001469136
0,41________0,001462793
0,42________0,001456123
0,43________0,001449206
0,44________0,001442106
0,45________0,001434731
0,46___0,001427098
0,47____0,00141927
0,48______0,0014113
0,49___0,001403122
0,5___0,001394749
0,51___0,001386241
0,52___0,001377653
0,53___0,001368906
0,54___0,001360043
0,55___0,001351105
0,56___0,001342078
0,57___0,001332981
0,58____0,00132383
0,59___0,001314648
0,6___0,001305456
0,61___0,001296235
0,62___0,001286985
0,63___0,001277742
0,64___0,001268543
0,65___0,001259374
0,66___0,001250221
0,67___0,001241124
0,68___0,001232119
0,69___0,001223201
0,7___0,001214352
0,71___0,001205596
0,72____0,00119696
0,73___0,001188468
0,74___0,001180113
0,75___0,001171885
0,76___0,001163824
0,77____0,00115598
0,78___0,001148244
0,79___0,001140628
0,8___0,001133151
0,81___0,001125823
0,82____0,00111863
0,83___0,001111559
0,84___0,001104599
0,85___0,001097743
0,86___0,001090999
0,87___0,001084355
0,88___0,001077796
0,89___0,001071315
0,9___0,001064924
0,91___0,001058609
0,92___0,001052356
0,93___0,001046154
0,94___0,001040021
0,95___0,001033942
0,96___0,001027895
0,97___0,001021876
0,98___0,001015907
0,99___0,001009959
1___0,001004055
1,01___0,000998214
1,02___0,000992413
1,03___0,000986661
1,04___0,000980976
1,05___0,000975374
1,06___0,000969833
1,07___0,000964361
1,08___0,000958977
1,09___0,000953699
1,1___0,000948503
1,11___0,000943394
1,12___0,000938394
1,13___0,000933525
1,14___0,000928778
1,15___0,000924141
1,16___0,000919608
1,17___0,000915175
1,18___0,000910923
1,19___0,000906813
1,2___0,000902818
1,21___0,000899026
1,22___0,000895397
1,23___0,000891888
1,24___0,000888559
1,25___0,000885465
1,26___0,000882557
1,27___0,000879788
1,28___0,000877232
1,29___0,000874964
1,3___0,000872906
1,31___0,000870967
1,32___0,000869277
1,33___0,000867971
1,34____0,00086697
1,35___0,000866046
1,36___0,000865339
1,37___0,000864995
1,38____0,00086505
1,39___0,000865303
1,4___0,000865678
1,41___0,000866468
1,42___0,000867598
1,43___0,000869013
1,44___0,000870668
1,45___0,000872503
1,46___0,000874524
1,47___0,000876881
1,48___0,000879501
1,49___0,000882289
1,5___0,000885195
1,51___0,000888337
1,52___0,000891675
1,53___0,000895148
1,54___0,000898716
1,55___0,000902452
1,56___0,000906329
1,57___0,000910298
1,58___0,000914324
1,59___0,000918465
1,6____0,00092269
1,61____0,00092695
1,62___0,000931267
1,63___0,000935627
1,64___0,000940005
1,65___0,000944382
1,66___0,000948742
1,67___0,000953113
1,68___0,000957478
1,69___0,000961801
1,7____0,00096605
1,71___0,000970259
1,72____0,00097442
1,73___0,000978493
1,74____0,00098244
1,75___0,000986301
1,76___0,000990076
1,77___0,000993716
1,78___0,000997172
1,79___0,001000457
1,8___0,001003604
1,81___0,001006622
1,82___0,001009514
1,83____0,00101207
1,84___0,001014528
1,85___0,001016827
1,86___0,001018907
1,87___0,001020795
1,88___0,001022551
1,89___0,001024151
1,9___0,001025568
1,91___0,001026831
1,92___0,001027993
1,93___0,001029025
1,94___0,001029896
1,95___0,001030633
1,96___0,001031305
1,97___0,001031873
1,98___0,001032295
1,99___0,001032586
2___0,001032845
2,01___0,001033043
2,02___0,001033145
2,03___0,001033145
2,04___0,001033117
2,05___0,001033025
2,06___0,001032867
2,07___0,001032694
2,08____0,00103248
2,09___0,001032248
2,1___0,001032032
2,11___0,001031848
2,12___0,001031652
2,13___0,001031477
2,14___0,001031368
2,15___0,001031359
2,16____0,00103142
2,17___0,001031533
2,18___0,001031683
2,19____0,00103188
2,2___0,001032277
2,21___0,001032852
2,22___0,001033539
2,23___0,001034291
2,24___0,001035272
2,25___0,001036424
2,26___0,001037729
2,27___0,001039276
2,28___0,001041035
2,29___0,001042993
2,3___0,001045152
2,31___0,001047518
2,32___0,001050184
2,33___0,001053162
2,34___0,001056414
2,35___0,001059902
2,36___0,001063717
2,37___0,001067897
2,38___0,001072403
2,39___0,001077199
2,4___0,001082362
2,41___0,001087944
2,42___0,001093905
2,43___0,001100206
2,44___0,001106959
2,45___0,001114217
2,46___0,001121846
2,47___0,001129716
2,48___0,001138367
2,49____0,00114732
2,5___0,001156603
2,51___0,001166262
2,52___0,001176369
2,53___0,001186944
2,54___0,001197907
2,55___0,001209177
2,56___0,001220748
2,57____0,00123271
2,58___0,001245002
2,59___0,001257556
2,6___0,001270357
2,61___0,001283479
2,62___0,001296872
2,63___0,001310478
2,64___0,001324281
2,65___0,001338354
2,66___0,001352633
2,67___0,001367042
2,68___0,001381601
2,69___0,001396385
2,7___0,001411265
2,71___0,001426189
2,72___0,001441133
2,73___0,001456162
2,74______0,0014712
2,75___0,001486149
2,76___0,001500939
2,77____0,00151568
2,78___0,001530305
2,79___0,001544703
2,8___0,001558786
2,81___0,001572689
2,82___0,001586349
2,83___0,001599639
2,84___0,001612445
2,85___0,001624889
2,86___0,001636972
2,87___0,001648621
2,88___0,001659766
2,89____0,00167033
2,9___0,001680303
2,91___0,001689765
2,92___0,001698418
2,93___0,001706514
2,94______0,0017142
2,95___0,001721283
2,96___0,001727575
2,97___0,001733341
2,98___0,001738684
2,99___0,001743393
3___0,001747258
3,01___0,001750708
3,02___0,001753905
3,03___0,001756387
3,04___0,001757694
3,05___0,001758172
3,06___0,001758544
3,07____0,00175879
3,08___0,001758887
3,09___0,001758196
3,1___0,001756318
3,11___0,001754074
3,12___0,001751364
3,13___0,001748014
3,14___0,001744205
3,15___0,001740005
3,16___0,001735485
3,17___0,001730594
3,18___0,001725165
3,19___0,001719341
3,2___0,001713277
3,21___0,001707025
3,22___0,001700422
3,23___0,001693559
3,24____0,00168655
3,25___0,001679449
3,26___0,001672142
3,27___0,001664702
3,28___0,001657221
3,29___0,001649758
3,3___0,001642239
3,31___0,001634704
3,32___0,001627213
3,33___0,001619831
3,34___0,001612517
3,35___0,001605258
3,36____0,00159807
3,37___0,001590967
3,38____0,00158394
3,39___0,001576985
3,4___0,001570103
3,41___0,001563295
3,42___0,001556557
3,43___0,001549891
3,44___0,001543295
3,45___0,001536772
3,46___0,001530319
3,47___0,001523934
3,48___0,001517619
3,49___0,001511376
3,5___0,001505208
3,51___0,001499109
3,52___0,001493068
3,53___0,001487075
3,54___0,001481174
3,55____0,00147534
3,56___0,001469562
3,57___0,001463867
3,58___0,001458246
3,59___0,001452684
3,6___0,001447194
3,61___0,001441787
3,62___0,001436458
3,63______0,0014312
3,64___0,001426022
3,65____0,00142093
3,66___0,001415921
3,67___0,001410987
3,68___0,001406138
3,69___0,001401381
3,7____0,00139672
3,71___0,001392145
3,72___0,001387652
3,73___0,001383234
3,74___0,001378909
3,75___0,001374703
3,76___0,001370573
3,77___0,001366558
3,78___0,001362694
3,79___0,001358905
3,8___0,001355236
3,81___0,001351739
3,82___0,001348425
3,83____0,00134522
3,84___0,001342176
3,85___0,001339353
3,86___0,001336764
3,87____0,00133429
3,88___0,001332004
3,89___0,001330005
3,9___0,001328318
3,91___0,001326708
3,92___0,001325301
3,93___0,001324279
3,94___0,001323755
3,95___0,001323378
3,96___0,001323116
3,97___0,001323017
3,98____0,00132342
3,99___0,001324165
4___0,001325177
4,01___0,001326377
4,02____0,00132771
4,03___0,001329396
4,04___0,001331412
4,05___0,001333637
4,06____0,00133596
4,07______0,0013385
4,08___0,001341272
4,09___0,001344204
4,1___0,001347229
4,11___0,001350407
4,12___0,001353748
4,13______0,0013572
4,14___0,001360714
4,15___0,001364321
4,16___0,001368033
4,17___0,001371805
4,18___0,001375598
4,19___0,001379455
4,2___0,001383333
4,21___0,001387223
4,22___0,001391119
4,23___0,001395028
4,24___0,001398953
4,25___0,001402872
4,26___0,001406764
4,27___0,001410631
4,28___0,001414487
4,29____0,00141831
4,3___0,001422075
4,31___0,001425786
4,32___0,001429459
4,33___0,001433071
